# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: all years
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                   ,  &nbsp;Year&nbsp;&nbsp;                       
   74  ,  University of Leiden  , Netherlands , 2018    
   74  ,  University of Leiden  , Netherlands , 2013    
   74  ,  Moscow State University  , Russia , 2010    
   74  ,  Stockholm University  , Sweden , 2017    
   74  ,  Uppsala University  , Sweden , 2004    
   74  ,  University of Bristol  , UK , 2018    
   75  ,  University of Groningen  , Netherlands , 2015    
   75  ,  University of Oslo  , Norway , 2011    
   75  ,  University of Oslo  , Norway , 2010    
   75  ,  King&rsquo;s College London  , UK , 2003    
   76  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2017    
   76  ,  University of Helsinki  , Finland , 2013    
   76  ,  University of Helsinki  , Finland , 2005    
   76  ,  University of Leiden  , Netherlands , 2008    
   76  ,  Moscow State University  , Russia , 2007    
   76  ,  Uppsala University  , Sweden , 2009    
   77  ,  Technion - Israel Institute of Technology  , Israel , 2018    
   77  ,  Technion - Israel Institute of Technology  , Israel , 2015    
   77  ,  Technion - Israel Institute of Technology  , Israel , 2013    
   77  ,  University of Leiden  , Netherlands , 2014    
   77  ,  Moscow State University  , Russia , 2011    
   77  ,  Moscow State University  , Russia , 2009    
   77  ,  Stockholm University  , Sweden , 2018    
   77  ,  Stockholm University  , Sweden , 2015    
   77  ,  King&rsquo;s College London  , UK , 2004    
   77  ,  University of Sheffield  , UK , 2008    
   78  ,  Hebrew University of Jerusalem  , Israel , 2005    
   78  ,  Technion - Israel Institute of Technology  , Israel , 2014    
   78  ,  Technion - Israel Institute of Technology  , Israel , 2012    
   78  ,  University of Leiden  , Netherlands , 2003    
   78  ,  Stockholm University  , Sweden , 2014    
   78  ,  University of Manchester  , UK , 2004    
   79  ,  University of Göttingen  , Germany , 2004    
   79  ,  Erasmus University Rotterdam  , Netherlands , 2018    
   79  ,  Moscow State University  , Russia , 2013    
   79  ,  Stockholm University  , Sweden , 2010    
   79  ,  University of Nottingham  , UK , 2006    
   80  ,  Moscow State University  , Russia , 2012    
   80  ,  King&rsquo;s College London  , UK , 2005    
   80  ,  University of Nottingham  , UK , 2004    
   81  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2018    
   81  ,  University of Basel  , Switzerland , 2006    
   81  ,  Aarhus University  , Denmark , 2013    
   81  ,  Stockholm University  , Sweden , 2016    
   81  ,  Stockholm University  , Sweden , 2012    
   81  ,  Stockholm University  , Sweden , 2011    
   81  ,  King&rsquo;s College London  , UK , 2008    
   81  ,  University of Nottingham  , UK , 2007    
   81  ,  University of Sheffield  , UK , 2009    
   82  ,  University of Basel  , Switzerland , 2007    
   82  ,  University of Groningen  , Netherlands , 2014    
   82  ,  University of Leiden  , Netherlands , 2015    
   82  ,  Stockholm University  , Sweden , 2013    
   82  ,  University of Nottingham  , UK , 2008    
   82  ,  University of Strasbourg  , France , 2004    
   83  ,  University of Basel  , Switzerland , 2013    
   83  ,  Ecole Normale Supérieure de Paris  , France , 2007    
   83  ,  King&rsquo;s College London  , UK , 2007    
   83  ,  King&rsquo;s College London  , UK , 2006    
   83  ,  University of Nottingham  , UK , 2013    
   83  ,  University of Nottingham  , UK , 2009    
   83  ,  University of Nottingham  , UK , 2005    
   84  ,  University of Vienna  , Austria , 2003    
   84  ,  University of Göttingen  , Germany , 2005    
   84  ,  University of Groningen  , Netherlands , 2003    
   84  ,  Moscow State University  , Russia , 2014    
   84  ,  Stockholm University  , Sweden , 2006    
   84  ,  University of Nottingham  , UK , 2010    
   85  ,  University of Vienna  , Austria , 2005    
   85  ,  University of Gent  , Belgium , 2013    
   85  ,  University of Basel  , Switzerland , 2012    
   85  ,  University of Basel  , Switzerland , 2009    
   85  ,  University of Göttingen  , Germany , 2006    
   85  ,  Ecole Normale Supérieure de Paris  , France , 2004    
   85  ,  University of Nottingham  , UK , 2011    
   86  ,  University of Vienna  , Austria , 2004    
   86  ,  Catholic University of Leuven  , Belgium , 2018    
   86  ,  University of Basel  , Switzerland , 2010    
   86  ,  University of Göttingen  , Germany , 2011    
   86  ,  Aarhus University  , Denmark , 2012    
   86  ,  Aarhus University  , Denmark , 2011    
   86  ,  Moscow State University  , Russia , 2018    
   86  ,  Moscow State University  , Russia , 2015    
   86  ,  Stockholm University  , Sweden , 2008    
   86  ,  Stockholm University  , Sweden , 2007    
   86  ,  University of Nottingham  , UK , 2012    
   87  ,  University of Basel  , Switzerland , 2015    
   87  ,  University of Basel  , Switzerland , 2008    
   87  ,  University of Basel  , Switzerland , 2005    
   87  ,  University of Göttingen  , Germany , 2007    
   87  ,  Ecole Normale Supérieure de Paris  , France , 2016    
   87  ,  Hebrew University of Jerusalem  , Israel , 2016    
   87  ,  Moscow State University  , Russia , 2016    
   87  ,  University of Strasbourg  , France , 2015    
   88  ,  University of Freiburg  , Germany , 2004    
   88  ,  University of Leiden  , Netherlands , 2017    
   88  ,  Stockholm University  , Sweden , 2009    
   88  ,  University of Sheffield  , UK , 2010    
   89  ,  University of Gent  , Belgium , 2012    
   89  ,  University of Gent  , Belgium , 2011    
   89  ,  University of Basel  , Switzerland , 2011    
   89  ,  University of Manchester  , UK , 2003    
   90  ,  Catholic University of Leuven  , Belgium , 2017    
   90  ,  Catholic University of Leuven  , Belgium , 2015    
   90  ,  University of Gent  , Belgium , 2010    
   90  ,  University of Basel  , Switzerland , 2014    
   90  ,  University of Freiburg  , Germany , 2005    
   90  ,  University of Göttingen  , Germany , 2009    
   90  ,  University of Göttingen  , Germany , 2008    
   90  ,  Hebrew University of Jerusalem  , Israel , 2004    
   90  ,  Lund University  , Sweden , 2006    
   90  ,  University of Birmingham  , UK , 2006    
   91  ,  University of Basel  , Switzerland , 2004    
   91  ,  University of Göttingen  , Germany , 2003    
