# University Ranking Results - www.universityrankings.ch
# Ranking: Leiden
# Year: all years
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                   ,  &nbsp;Year&nbsp;&nbsp;                       
   85  ,  Erasmus University Rotterdam  , Netherlands , 2014    
   86  ,  University René Descartes (Paris V)  , France , 2014    
   87  ,  Queen Mary - University of London  , UK , 2015    
   87  ,  University of Warwick  , UK , 2013    
   88  ,  Erasmus University Rotterdam  , Netherlands , 2015    
   88  ,  Radboud University of Nijmegen  , Netherlands , 2017    
   88  ,  University of Leiden  , Netherlands , 2018    
   89  ,  University of Durham  , UK , 2018    
   89  ,  University of Reading  , UK , 2017    
   90  ,  University of Leiden  , Netherlands , 2017    
   90  ,  London School of Economics  , UK , 2016    
   90  ,  University of Durham  , UK , 2015    
   90  ,  University of East Anglia  , UK , 2013    
   90  ,  University of Plymouth  , UK , 2014    
   91  ,  Technical University of München  , Germany , 2015    
   91  ,  University Denis Diderot (Paris VII)  , France , 2017    
   91  ,  University Denis Diderot (Paris VII)  , France , 2014    
   91  ,  University of Aberdeen  , UK , 2016    
   91  ,  University of Aberdeen  , UK , 2013    
   91  ,  University of Leeds  , UK , 2018    
   92  ,  Utrecht University  , Netherlands , 2012    
   92  ,  Wageningen University & Research Center  , Netherlands , 2015    
   92  ,  University of East Anglia  , UK , 2014    
   92  ,  University of Liverpool  , UK , 2018    
   93  ,  University of Würzburg  , Germany , 2013    
   93  ,  University Pompeu Fabra  , Spain , 2016    
   93  ,  VU University Amsterdam  , Netherlands , 2017    
   93  ,  Wageningen University & Research Center  , Netherlands , 2014    
   94  ,  Technical University of München  , Germany , 2012    
   94  ,  University Pierre et Marie Curie (Paris VI)  , France , 2015    
   94  ,  Eindhoven University of Technology  , Netherlands , 2014    
   94  ,  Eindhoven University of Technology  , Netherlands , 2013    
   94  ,  University of St. Andrews  , UK , 2017    
   95  ,  Wageningen University & Research Center  , Netherlands , 2016    
   96  ,  Erasmus University Rotterdam  , Netherlands , 2013    
   96  ,  Stockholm University  , Sweden , 2012    
   96  ,  University of Glasgow  , UK , 2015    
   97  ,  Radboud University of Nijmegen  , Netherlands , 2014    
   97  ,  Queen Mary - University of London  , UK , 2013    
   97  ,  University of Birmingham  , UK , 2018    
   97  ,  University of York  , UK , 2012    
   98  ,  University René Descartes (Paris V)  , France , 2016    
   99  ,  Ecole Polytechnique  , France , 2016    
   99  ,  University of Southampton  , UK , 2018    
   100  ,  University of Leiden  , Netherlands , 2012    
   100  ,  University of Leeds  , UK , 2017    
   100  ,  University of Plymouth  , UK , 2015    
   101  ,  Trinity College Dublin  , Ireland , 2018    
   101  ,  University of Glasgow  , UK , 2016    
   101  ,  University of Manchester  , UK , 2017    
   102  ,  University of Konstanz  , Germany , 2017    
   102  ,  Delft University of Technology  , Netherlands , 2015    
   102  ,  VU University Amsterdam  , Netherlands , 2018    
   102  ,  University of Twente  , Netherlands , 2014    
   103  ,  Technical University of München  , Germany , 2016    
   103  ,  University Paris Sud (Paris XI)  , France , 2015    
   103  ,  University René Descartes (Paris V)  , France , 2017    
   103  ,  University of Amsterdam  , Netherlands , 2013    
   104  ,  University of Amsterdam  , Netherlands , 2012    
   104  ,  University of Aberdeen  , UK , 2017    
   104  ,  Newcastle University - Newcastle-upon-Tyne  , UK , 2015    
   105  ,  University Denis Diderot (Paris VII)  , France , 2015    
   105  ,  Newcastle University - Newcastle-upon-Tyne  , UK , 2017    
   105  ,  University of Southampton  , UK , 2016    
   105  ,  Bangor University  , UK , 2018    
   106  ,  University of Freiburg  , Germany , 2012    
   106  ,  Trinity College Dublin  , Ireland , 2015    
   107  ,  University of Freiburg  , Germany , 2014    
   107  ,  King&rsquo;s College London  , UK , 2012    
   107  ,  University of Aberdeen  , UK , 2018    
   107  ,  University of York  , UK , 2016    
   107  ,  University of York  , UK , 2013    
   108  ,  Radboud University of Nijmegen  , Netherlands , 2018    
   108  ,  University of Maastricht  , Netherlands , 2015    
   108  ,  University of Durham  , UK , 2014    
   108  ,  University of Liverpool  , UK , 2017    
   109  ,  University of Stuttgart  , Germany , 2013    
   109  ,  Technical University of Denmark  , Denmark , 2018    
   109  ,  Technical University of Denmark  , Denmark , 2017    
   109  ,  Radboud University of Nijmegen  , Netherlands , 2016    
   110  ,  University of München  , Germany , 2015    
   110  ,  University of München  , Germany , 2013    
   110  ,  University of Maastricht  , Netherlands , 2014    
   110  ,  University of St. Andrews  , UK , 2018    
   111  ,  University of München  , Germany , 2017    
   111  ,  University of München  , Germany , 2014    
   111  ,  University Denis Diderot (Paris VII)  , France , 2018    
   111  ,  University of Twente  , Netherlands , 2013    
   112  ,  University Denis Diderot (Paris VII)  , France , 2016    
   112  ,  London School of Economics  , UK , 2015    
   112  ,  Queen Mary - University of London  , UK , 2012    
   112  ,  University of East Anglia  , UK , 2018    
   113  ,  University of Graz  , Austria , 2016    
   113  ,  University of Sheffield  , UK , 2018    
   114  ,  University Paris Sud (Paris XI)  , France , 2017    
   114  ,  University Pierre et Marie Curie (Paris VI)  , France , 2014    
   114  ,  Radboud University of Nijmegen  , Netherlands , 2013    
   114  ,  Karolinska Institute  , Sweden , 2015    
   114  ,  Newcastle University - Newcastle-upon-Tyne  , UK , 2016    
   115  ,  Catholic University of Leuven  , Belgium , 2014    
   115  ,  University of Copenhagen  , Denmark , 2015    
   115  ,  Ecole Polytechnique  , France , 2017    
   115  ,  University Paris Sud (Paris XI)  , France , 2018    
   115  ,  University Pierre et Marie Curie (Paris VI)  , France , 2016    
   115  ,  Delft University of Technology  , Netherlands , 2012    
   115  ,  University of Reading  , UK , 2013    
   116  ,  Catholic University of Leuven  , Belgium , 2013    
   116  ,  University of Münster  , Germany , 2014    
   116  ,  University of Exeter  , UK , 2012    
   116  ,  University of Reading  , UK , 2016    
   117  ,  Aarhus University  , Denmark , 2012    
   117  ,  University of Glasgow  , UK , 2014    
   117  ,  University of Leeds  , UK , 2016    
   117  ,  University of York  , UK , 2017    
   118  ,  University Paris Sud (Paris XI)  , France , 2012    
   118  ,  Eindhoven University of Technology  , Netherlands , 2015    
   118  ,  University of Leeds  , UK , 2014    
   119  ,  University of Erlangen-Nürnberg  , Germany , 2012    
   119  ,  University Pierre et Marie Curie (Paris VI)  , France , 2017    
   119  ,  University Victor Segalen - Bordeaux II  , France , 2013    
   120  ,  University of Göttingen  , Germany , 2018    
   120  ,  University of Copenhagen  , Denmark , 2012    
   120  ,  American University of Paris  , France , 2016    
   120  ,  University of Groningen  , Netherlands , 2015    
   120  ,  University of Groningen  , Netherlands , 2014    
   120  ,  Karolinska Institute  , Sweden , 2017    
   121  ,  University of München  , Germany , 2018    
   121  ,  University of München  , Germany , 2016    
   121  ,  University of Glasgow  , UK , 2013    
   121  ,  Newcastle University - Newcastle-upon-Tyne  , UK , 2014    
   122  ,  University of Bern  , Switzerland , 2015    
   122  ,  University of Freiburg  , Germany , 2013    
   122  ,  University Denis Diderot (Paris VII)  , France , 2012    
   122  ,  Karolinska Institute  , Sweden , 2016    
   122  ,  University of Liverpool  , UK , 2014    
   122  ,  University of Reading  , UK , 2018    
   123  ,  University of Maastricht  , Netherlands , 2013    
   124  ,  Trinity College Dublin  , Ireland , 2016    
   124  ,  University of Southampton  , UK , 2017    
   124  ,  Karlsruhe Institute of Technology  , Germany , 2012    
   125  ,  University of Copenhagen  , Denmark , 2016    
   125  ,  University Denis Diderot (Paris VII)  , France , 2013    
   125  ,  University Pierre et Marie Curie (Paris VI)  , France , 2012    
   125  ,  Karolinska Institute  , Sweden , 2014    
   125  ,  University of Leeds  , UK , 2015    
   126  ,  University of Frankfurt am Main  , Germany , 2013    
   126  ,  University René Descartes (Paris V)  , France , 2018    
   126  ,  University of Twente  , Netherlands , 2015    
   127  ,  University of Graz  , Austria , 2017    
   127  ,  University Victor Segalen - Bordeaux II  , France , 2014    
   127  ,  Eindhoven University of Technology  , Netherlands , 2016    
   127  ,  Radboud University of Nijmegen  , Netherlands , 2015    
   127  ,  University of Lancaster  , UK , 2012    
   127  ,  University of Sussex  , UK , 2018    
   128  ,  University of Copenhagen  , Denmark , 2014    
   128  ,  University of Glasgow  , UK , 2012    
   128  ,  University of Manchester  , UK , 2016    
   128  ,  University of Nottingham  , UK , 2013    
   128  ,  University of Southampton  , UK , 2015    
   128  ,  University of York  , UK , 2018    
   129  ,  University Paris Sud (Paris XI)  , France , 2014    
   129  ,  Cardiff University  , UK , 2018    
   129  ,  University of Liverpool  , UK , 2015    
   130  ,  University of Konstanz  , Germany , 2014    
   130  ,  Eindhoven University of Technology  , Netherlands , 2018    
   130  ,  University of Maastricht  , Netherlands , 2016    
   130  ,  University of Lancaster  , UK , 2013    
   130  ,  University of Sheffield  , UK , 2017    
   131  ,  Aarhus University  , Denmark , 2014    
   131  ,  University Joseph Fourier - Grenoble I  , France , 2015    
   131  ,  University of Birmingham  , UK , 2017    
   131  ,  Newcastle University - Newcastle-upon-Tyne  , UK , 2018    
   132  ,  University of Würzburg  , Germany , 2016    
   132  ,  University of Copenhagen  , Denmark , 2013    
   132  ,  University Victor Segalen - Bordeaux II  , France , 2012    
   133  ,  University of Würzburg  , Germany , 2014    
   133  ,  University of Stuttgart  , Germany , 2012    
   133  ,  University of Münster  , Germany , 2015    
   133  ,  Eindhoven University of Technology  , Netherlands , 2017    
   133  ,  University of Groningen  , Netherlands , 2018    
   133  ,  Newcastle University - Newcastle-upon-Tyne  , UK , 2013    
   134  ,  University of Konstanz  , Germany , 2015    
   134  ,  University of Maastricht  , Netherlands , 2017    
   135  ,  University of Würzburg  , Germany , 2015    
   135  ,  University Pompeu Fabra  , Spain , 2017    
   135  ,  University of Nice-Sophia Antipolis  , France , 2014    
   135  ,  University of Groningen  , Netherlands , 2016    
   135  ,  University of Maastricht  , Netherlands , 2018    
   136  ,  University Paris-Sorbonne (Paris IV)  , France , 2018    
   136  ,  University Pierre et Marie Curie (Paris VI)  , France , 2013    
   136  ,  University of Nottingham  , UK , 2014    
   136  ,  University of Southampton  , UK , 2012    
   137  ,  University of Bern  , Switzerland , 2016    
   137  ,  University of Nice-Sophia Antipolis  , France , 2018    
   137  ,  Trinity College Dublin  , Ireland , 2017    
   137  ,  University of Sussex  , UK , 2012    
   138  ,  University of Würzburg  , Germany , 2012    
   138  ,  University of Göttingen  , Germany , 2015    
   138  ,  University Joseph Fourier - Grenoble I  , France , 2016    
   139  ,  University of Göttingen  , Germany , 2016    
   139  ,  Technical University of München  , Germany , 2018    
   139  ,  University of Regensburg  , Germany , 2015    
   139  ,  University of Copenhagen  , Denmark , 2017    
   139  ,  University Joseph Fourier - Grenoble I  , France , 2014    
   139  ,  University of Groningen  , Netherlands , 2013    
   139  ,  University of Bath  , UK , 2012    
   140  ,  University of Würzburg  , Germany , 2017    
   140  ,  Stockholm University  , Sweden , 2014    
   140  ,  University of Lancaster  , UK , 2018    
   141  ,  Ecole Polytechnique  , France , 2018    
   141  ,  Ecole Polytechnique  , France , 2012    
   141  ,  Stockholm University  , Sweden , 2013    
   141  ,  University of Reading  , UK , 2015    
   141  ,  University of Sheffield  , UK , 2014    
   142  ,  University of Freiburg  , Germany , 2015    
   142  ,  Chalmers University of Technology  , Sweden , 2018    
   142  ,  University of Nottingham  , UK , 2012    
   143  ,  Technical University of München  , Germany , 2017    
   144  ,  Catholic University of Louvain  , Belgium , 2012    
   144  ,  University of Münster  , Germany , 2013    
   144  ,  University of Montpellier II  , France , 2014    
   145  ,  University of Konstanz  , Germany , 2016    
   145  ,  University of Groningen  , Netherlands , 2017    
   145  ,  University of Sheffield  , UK , 2013    
   145  ,  University of Sussex  , UK , 2015    
   146  ,  University of Heidelberg  , Germany , 2015    
   147  ,  University of Göttingen  , Germany , 2017    
   147  ,  University of Nice-Sophia Antipolis  , France , 2012    
   147  ,  University of Leicester  , UK , 2018    
   147  ,  University of Liverpool  , UK , 2016    
   148  ,  Delft University of Technology  , Netherlands , 2014    
   148  ,  University of Groningen  , Netherlands , 2012    
   148  ,  Cardiff University  , UK , 2017    
   148  ,  University of Leeds  , UK , 2013    
   148  ,  University Paris-Est Créteil Val de Marne  , France , 2018    
   149  ,  Catholic University of Leuven  , Belgium , 2012    
   149  ,  University of Bath  , UK , 2018    
   149  ,  University of Birmingham  , UK , 2016    
   150  ,  University of Graz  , Austria , 2014    
   150  ,  University of Antwerp  , Belgium , 2013    
   150  ,  Humboldt University of Berlin  , Germany , 2012    
   150  ,  Karolinska Institute  , Sweden , 2018    
   150  ,  University of Leicester  , UK , 2016    
   150  ,  University of Nottingham  , UK , 2015    
   151  ,  Catholic University of Louvain  , Belgium , 2014    
   151  ,  Catholic University of Louvain  , Belgium , 2013    
   151  ,  University of East Anglia  , UK , 2017    
   152  ,  University of Mainz  , Germany , 2012    
   152  ,  University of Heidelberg  , Germany , 2016    
   152  ,  University of Regensburg  , Germany , 2014    
   152  ,  University René Descartes (Paris V)  , France , 2013    
   152  ,  University of Manchester  , UK , 2015    
   152  ,  Grenoble Alpes University  , France , 2018    
   153  ,  Catholic University of Louvain  , Belgium , 2015    
   153  ,  University of Bonn  , Germany , 2014    
   153  ,  University of Bonn  , Germany , 2013    
   153  ,  University of Bonn  , Germany , 2012    
   153  ,  University of Bordeaux  , France , 2016    
   154  ,  University of Gent  , Belgium , 2018    
   154  ,  University of Bern  , Switzerland , 2012    
   154  ,  Technical University of Berlin  , Germany , 2015    
   154  ,  University of Bath  , UK , 2016    
   155  ,  University of Gent  , Belgium , 2015    
   155  ,  University of Heidelberg  , Germany , 2017    
   156  ,  University Bordeaux I - Sciences Technologie  , France , 2013    
   156  ,  University of Nice-Sophia Antipolis  , France , 2015    
   156  ,  University of Sheffield  , UK , 2012    
   156  ,  University of Southampton  , UK , 2014    
   156  ,  Grenoble Alpes University  , France , 2017    
   157  ,  University of Frankfurt am Main  , Germany , 2012    
   157  ,  University of Heidelberg  , Germany , 2018    
   157  ,  University of Regensburg  , Germany , 2013    
