# University Ranking Results - www.universityrankings.ch
# Ranking: Times
# Year: all years
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                   ,  &nbsp;Year&nbsp;&nbsp;                       
   72  ,  Erasmus University Rotterdam  , Netherlands , 2015    
   72  ,  Erasmus University Rotterdam  , Netherlands , 2013    
   72  ,  PSL Research University Paris  , France , 2018    
   73  ,  University of Heidelberg  , Germany , 2012    
   73  ,  University Paris-Sorbonne (Paris IV)  , France , 2019    
   73  ,  Erasmus University Rotterdam  , Netherlands , 2014    
   73  ,  Wageningen University & Research Center  , Netherlands , 2015    
   74  ,  University of Basel  , Switzerland , 2014    
   74  ,  University of Groningen  , Netherlands , 2016    
   74  ,  Utrecht University  , Netherlands , 2019    
   74  ,  Utrecht University  , Netherlands , 2014    
   74  ,  University of Bristol  , UK , 2015    
   74  ,  University of Bristol  , UK , 2013    
   75  ,  University of Basel  , Switzerland , 2015    
   75  ,  Free University of Berlin  , Germany , 2017    
   75  ,  Wageningen University & Research Center  , Netherlands , 2012    
   76  ,  University of Freiburg  , Germany , 2019    
   76  ,  University of Helsinki  , Finland , 2016    
   76  ,  Trinity College Dublin  , Ireland , 2011    
   76  ,  University of Bristol  , UK , 2018    
   76  ,  University of Glasgow  , UK , 2016    
   77  ,  Delft University of Technology  , Netherlands , 2013    
   77  ,  University of Amsterdam  , Netherlands , 2015    
   77  ,  University of Leiden  , Netherlands , 2017    
   77  ,  Wageningen University & Research Center  , Netherlands , 2014    
   77  ,  King&rsquo;s College London  , UK , 2011    
   78  ,  University of Tübingen  , Germany , 2016    
   78  ,  University of Heidelberg  , Germany , 2013    
   78  ,  Ecole Normale Supérieure de Paris  , France , 2015    
   78  ,  University of Bristol  , UK , 2019    
   78  ,  RWTH Aachen University  , Germany , 2017    
   79  ,  University of Groningen  , Netherlands , 2019    
   79  ,  University of Leiden  , Netherlands , 2012    
   79  ,  Utrecht University  , Netherlands , 2015    
   79  ,  University of Bristol  , UK , 2014    
   79  ,  University of Sussex  , UK , 2011    
   79  ,  University of Warwick  , UK , 2019    
   79  ,  RWTH Aachen University  , Germany , 2018    
   80  ,  Humboldt University of Berlin  , Germany , 2015    
   80  ,  University of Groningen  , Netherlands , 2017    
   80  ,  Lund University  , Sweden , 2012    
   80  ,  University of Durham  , UK , 2014    
   80  ,  University of Durham  , UK , 2013    
   80  ,  University of Glasgow  , UK , 2018    
   80  ,  University of Warwick  , UK , 2016    
   81  ,  Free University of Berlin  , Germany , 2015    
   81  ,  University Pierre et Marie Curie (Paris VI)  , France , 2013    
   81  ,  Uppsala University  , Sweden , 2016    
   81  ,  University of York  , UK , 2011    
   82  ,  University of Freiburg  , Germany , 2018    
   82  ,  Technical University of Berlin  , Germany , 2017    
   82  ,  University of Copenhagen  , Denmark , 2016    
   82  ,  Lund University  , Sweden , 2013    
   82  ,  University of Warwick  , UK , 2017    
   83  ,  University of Heidelberg  , Germany , 2011    
   83  ,  University of Amsterdam  , Netherlands , 2014    
